user_name,user_app_rating,user_review_date,company_comment_date,comment,company_answer_check
Google 사용자,4,2017년 5월 20일,2017년 5월 23일,잡플랜에 회사에 대해 비방하거나 허위를 적은 적이 없는데 퇴사자 위주로 고소한다고 회사에서 내용증명서가 왔는데 익명인데 후기도 못적고 법적 절차가 들어가면 안적는만 못한거 같은데 잡플랜에서는 익명의 정보를 회사에게 정보를 알려주나요??,answer
Google 사용자,5,2017년 5월 11일,2017년 5월 16일,좋은정보감사,answer
Dohwa Choi,3,2017년 5월 9일,2017년 5월 10일,"이메일 인증이 안되네요. 한메일 계정이어서 그런건지... 십수번을 몇시간 걸쳐 이메일 인증을 했지만, 메일이 안옴.",answer
boram kim,4,2017년 5월 9일,2017년 5월 10일,여러 의견을 볼 수 있어서 취준생입장에서는 무척 고마운 앱입니다. 다만 제휴맺은 대학이 크게 많지 않아서 리뷰를 볼때마다 광고를 봐야해서 불편합니다만 그정도야 감수할수 있습니다. 그리고 또 다시 같은 리뷰를 보려고 하면 다시 광고시청을 해야하는데 이 부분은 고쳐졌으면 좋겠어요. 한번 본 리뷰는 광고없이 바로 확인할 수 있으면 하네요,answer
EO S,5,2017년 4월 27일,2017년 5월 10일,취직관련 최고의 앱.. 채용관련 정보는 거의 없지만 회사 재직자들의 평을 볼수있어서 채용사이트와 연계해서 쓰면 더 좋음,answer
김연정,1,2017년 4월 19일,2017년 4월 19일,가입창에서 다음이 안넘어가네요;;;,answer
동해김,4,2017년 4월 10일,2017년 4월 11일,"좋은 어플 잘 사용하고 있습니다. 다만 리뷰 항목에서 필터 (산업군 1차,2차) 설정하는게 고정될 수 있도록 옵션을 만들어주시면 편하게 사용가능 할 수 있을 것 같습니다. 그리고 리뷰들을 정렬할 때도 정렬이 제대로 되지 않는 것 같습니다. 예를 들어 연봉높은순으로 조회했는데 처음에 평균연봉 7000정도의 기업이 나오다 내려가면서 평균연봉 1억의 기업이 나온다던지.. 이런점 제외하고는 만족합니다.",answer
Heesu Lee,2,2017년 4월 10일,2017년 4월 11일,매번 접속할때마다 무한로딩.. 와이파이 문젠가싶어 앱종료하고 엘티이로 다시 접속하는데도 계속 로딩.. 접속이 너무안되서 삭제할까 늘 고민하게 만들어요ㅠ 이문제좀 어떻게 해결좀해주세료!!,answer
pie cherry,5,2017년 4월 9일,2017년 4월 11일,"너무 좋은 앱인데요. 왜 회사명에 (주)가 앞에 붙여서 조회하면 안나오나요? 또한, 원래 회사명 앞에 (주)가 붙어도 검색해보면 뒤에 붙은것으로 나오네요..",answer
Google 사용자,5,2017년 4월 8일,2017년 4월 11일,좋아요,answer
사랑치킨,1,2017년 3월 28일,2017년 3월 29일,"익명을 추구하는 곳 아닌가요?그런데 몇년도 퇴사인지 현직장인지, 무슨직무인지가 필수인것은 뭡니까. 기업 평 상세히 적으려다맙니다. 이렇게 상세히 요구하는데 익명이 제대로 유지나. 되나 모르겠네요",answer
정모아,1,2017년 3월 28일,2017년 3월 29일,이어플 처음엔 구직자를 위한 유일한 어플이구나 생각했으나 제착각이였나보네요 제가 전직장에 대해 욕설 비속어 은어 비하하는 표현등을 사용한것도 없고 있는사실 그대로 작성했는데 등록 거절되었기에  너무 단점만 적었나 싶어 다시 수정해 올렸으나 또 동일사유로 거절되었네요 이건뭐 있는걸 그대로 적어도 등록을 안해주니 이젠 등록된 리뷰들이 진실인지 믿을수가 없네요 애써 공들여 다른구직자들 입사전 참고하길 바라는 마음에 가감없이 사실만을 적었는데 기대가 컸던만큼 실망감과 배신감만 한가득 돌려받고서 어플 삭제합니다.,answer
