user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
먐먀,1,2019년 12월 24일,no_answer,카드 일반결제로 비번 다 쳤는데 확인버튼이 없어서 결제를 못함 뭐하는 앱임.....,no_answer
김미향,5,2019년 12월 23일,no_answer,빠른 배송.~~^^,no_answer
이인호,3,2019년 12월 23일,no_answer,맞는 싸이즈는 별로 없음.,no_answer
장미경,5,2019년 12월 23일,no_answer,최고의 앱입니다~,no_answer
김명준,2,2019년 12월 23일,no_answer,쿠팡 짝퉁을 진품이라고 파는 중국회사는 왜 안 거르고 팔게 하는지; 나이키 신발을 보고싶어서 검색해도 중국 회사에서 파는 저렴한 짝퉁밖에 없네요 관리 좀 해주세요,no_answer
추정미,5,2019년 12월 23일,no_answer,없음,no_answer
Google 사용자,2,2019년 12월 23일,no_answer,이번 업데이트 이후인가요... 페이지 하단으로 내려서 보고 있는데 자꾸 윗쪽으로 자동으로 올라가네요.... 제 핸드폰이 문제일까요?....,no_answer
진혜량,4,2019년 12월 23일,no_answer,정말 좋아요,no_answer
kyung ho kang,1,2019년 12월 23일,no_answer,쿠팡은 일본제국주의 산물. 불매대상 1호,no_answer
매직파이어,1,2019년 12월 22일,no_answer,쿠팡이 좋킨한데 이게 내가원한는걸써도안나옴 내가 언재 전주 체험가서 메카 배틀로봇 있길래 쿠팡에따쓰니가 메카 배틀 로봇은 안보이고 터닝메카드만나옴 짜증,no_answer
김진석,4,2019년 12월 22일,no_answer,좋아요,no_answer
손미영,5,2019년 12월 22일,no_answer,다음날 바로 배송되니 아주좋아요 다른곳보다 값도 싸구요 😝😝😝,no_answer
김보라,5,2019년 12월 22일,no_answer,그냥 좋음,no_answer
허수경,5,2019년 12월 22일,no_answer,예!,no_answer
김점례,1,2019년 12월 22일,no_answer,로켓와우 신청하지도 않았는데 매달 2900원씩 빠져나가서 마이쿠팡 확인할려는데 로딩중만 뜨고 뜨질 않으니 확인할 수 가 없네요 다른 페이지는 다 잘 뜨는데 얼른 확인해주세요 화나니까 왜 마이쿠팡 페이지만 안들어가질까요?;,no_answer
배복순,1,2019년 12월 22일,no_answer,아니 쿠팡씨? 오늘 17시내에 온다고 했는데 왜 안 오죠? 지금 저 완전 애타고 있음.--+,no_answer
박옥주,5,2019년 12월 22일,no_answer,너무너무 좋아요 급하게 필요하게주문할땐 역쉬 쿠팡입니다,no_answer
장윤자,4,2019년 12월 22일,no_answer,쇼핑소식잘보고있습니다~,no_answer
냥집사,1,2019년 12월 22일,no_answer,저번주부터 마이페이지가 들어가면 서비스점검중 페이지가 계속뜨는데 이거안고쳐지나요..?,no_answer
요구르트,3,2019년 12월 22일,no_answer,진짜 좀 빡치는게 뭐 좀 사려고 로그인할려고 하면 계속 비번이 틀렸다하고 그러길래 비번을 아예 바꾸고 다시 로그인할려니까 또 비번이 틀렸대요.. 분명 맞거든요..? 하,no_answer
달님강,1,2019년 12월 22일,no_answer,정확한날 배소을 안 해줬어요ㅠㅠ,no_answer
심은혜,5,2019년 12월 22일,no_answer,로켓배송 쵝오~,no_answer
이창연,5,2019년 12월 22일,no_answer,앱중에 최고에요 많이 애용하네요,no_answer
최승주,5,2019년 12월 22일,no_answer,쇼오피잉~~너어무~ 재미써어~~♥♥,no_answer
조민우,3,2019년 12월 22일,no_answer,쿠팡 먹거리는 상품의 질도 좀 떨어지고 다양성도 떨어지고 비싸요 조금,no_answer
IS.이슬,3,2019년 12월 22일,no_answer,가격이싸서 좋고 않뜨는게 많음...,no_answer
이이뿐잉,5,2019년 12월 21일,no_answer,편해요,no_answer
함현우,5,2019년 12월 21일,no_answer,그냥좋음,no_answer
정덕수,5,2019년 12월 21일,no_answer,확실히 빠름..빠름,no_answer
